												BEFORE EXECUTION		AFTER EXECUTION
Clock		PC		Instruction		R 		EA		(R)		(EA)		(R)		(EA)
(Dec)		(Hex)		(Hex)		(Hex)	(Hex)	(Hex)	(Hex)	(Hex)	(Hex)
2			02			b400			0002								0000				
3			04			1280			0001								0000				
3			04			1280			0002				0000				0000				
4			02			707c			0001				0000				0000				
5			04			1280			0001				0000				0000				
5			04			1280			0002				0000				0000				
6			02			707c			0001				0000				0000				
7			04			1280			0001				0000				0000				
7			04			1280			0002				0000				0000				
8			02			707c			0001				0000				0000				
9			04			1280			0001				0000				0000				
9			04			1280			0002				0000				0000				
21			04			1280			0001				0000				0000				
21			04			1280			0002				0000				0000				
22			02			707c			0001				0000				0000				
23			04			1280			0001				0000				0000				
23			04			1280			0002				0000				0000				
24			02			707c			0001				0000				0000				
25			04			1280			0001				0000				0000				
25			04			1280			0002				0000				0000				
26			02			707c			0001				0000				0000				
27			04			1280			0001				0000				0000				
27			04			1280			0002				0000				0000				
28			02			707c			0001				0000				0000				
29			04			1280			0001				0000				0000				
29			04			1280			0002				0000				0000				
41			04			1280			0001				0000				0000				
41			04			1280			0002				0000				0000				
42			02			707c			0001				0000				0000				
43			04			1280			0001				0000				0000				
43			04			1280			0002				0000				0000				
44			02			707c			0001				0000				0000				
45			04			1280			0001				0000				0000				
45			04			1280			0002				0000				0000				
46			02			707c			0001				0000				0000				
47			04			1280			0001				0000				0000				
47			04			1280			0002				0000				0000				
48			02			707c			0001				0000				0000				
49			04			1280			0001				0000				0000				
49			04			1280			0002				0000				0000				
61			04			1280			0001				0000				0000				
61			04			1280			0002				0000				0000				
62			02			707c			0001				0000				0000				
63			04			1280			0001				0000				0000				
63			04			1280			0002				0000				0000				
64			02			707c			0001				0000				0000				
65			04			1280			0001				0000				0000				
65			04			1280			0002				0000				0000				
66			02			707c			0001				0000				0000				
67			04			1280			0001				0000				0000				
67			04			1280			0002				0000				0000				
68			02			707c			0001				0000				0000				
69			04			1280			0001				0000				0000				
69			04			1280			0002				0000				0000				
81			04			1280			0001				0000				0000				
81			04			1280			0002				0000				0000				
82			02			707c			0001				0000				0000				
83			04			1280			0001				0000				0000				
83			04			1280			0002				0000				0000				
84			02			707c			0001				0000				0000				
85			04			1280			0001				0000				0000				
85			04			1280			0002				0000				0000				
86			02			707c			0001				0000				0000				
87			04			1280			0001				0000				0000				
87			04			1280			0002				0000				0000				
88			02			707c			0001				0000				0000				
89			04			1280			0001				0000				0000				
89			04			1280			0002				0000				0000				
101			04			1280			0001				0000				0000				
101			04			1280			0002				0000				0000				
102			02			707c			0001				0000				0000				
103			04			1280			0001				0000				0000				
103			04			1280			0002				0000				0000				
104			02			707c			0001				0000				0000				
105			04			1280			0001				0000				0000				
105			04			1280			0002				0000				0000				
106			02			707c			0001				0000				0000				
107			04			1280			0001				0000				0000				
107			04			1280			0002				0000				0000				
108			02			707c			0001				0000				0000				
109			04			1280			0001				0000				0000				
109			04			1280			0002				0000				0000				
121			04			1280			0001				0000				0000				
121			04			1280			0002				0000				0000				
122			02			707c			0001				0000				0000				
123			04			1280			0001				0000				0000				
123			04			1280			0002				0000				0000				
124			02			707c			0001				0000				0000				
125			04			1280			0001				0000				0000				
125			04			1280			0002				0000				0000				
126			02			707c			0001				0000				0000				
127			04			1280			0001				0000				0000				
127			04			1280			0002				0000				0000				
128			02			707c			0001				0000				0000				
129			04			1280			0001				0000				0000				
129			04			1280			0002				0000				0000				
141			04			1280			0001				0000				0000				
141			04			1280			0002				0000				0000				
142			02			707c			0001				0000				0000				
143			04			1280			0001				0000				0000				
143			04			1280			0002				0000				0000				
144			02			707c			0001				0000				0000				
145			04			1280			0001				0000				0000				
145			04			1280			0002				0000				0000				
146			02			707c			0001				0000				0000				
147			04			1280			0001				0000				0000				
147			04			1280			0002				0000				0000				
148			02			707c			0001				0000				0000				
149			04			1280			0001				0000				0000				
149			04			1280			0002				0000				0000				
161			04			1280			0001				0000				0000				
161			04			1280			0002				0000				0000				
162			02			707c			0001				0000				0000				
